Price,Status,Area,Rate per sqft,Property Type,Locality,RERA Approval,BHK_Count,Flat Type,Log_Price,predicted_price
4500000.0,Ready to move,920,4891,3 BHK Apartment,Sector 3A,Not approved by RERA,3,Plot,15.319588176962746,4500000.000000258
45000000.0,Under Construction,2250,20000,3 BHK Apartment in Krisumi Waterside Residence,Sector 36A,Approved by RERA,3,Apartment,17.622173069956816,44999999.99999711
39100000.0,Under Construction,1955,20000,3 BHK Apartment in Krisumi Waterfall Residences,Sector 36A,Approved by RERA,3,Apartment,17.48163305053104,39099999.99999749
10100000.0,Ready to move,1880,5372,3 BHK Apartment in Vatika The Seven Lamps,Sector 82,Not approved by RERA,3,Apartment,16.128046080821385,10060171.85253436
11000000.0,Ready to move,2105,5225,3 BHK Independent Floor,Palam Vihar Pocket H,Not approved by RERA,3,Plot,16.213405921671733,11096993.543179007
27799999.999999996,Ready to move,1261,22124,2 BHK Apartment in M3M Heights,Sector 65,Not approved by RERA,2,Apartment,17.140546614632086,27799999.999999262
57500000.0,Ready to move,4215,13641,4 BHK Apartment in Belaireea,Golf Course Road,Not approved by RERA,4,Apartment,17.867295523158884,58906980.28670287
15200000.0,Ready to move,2050,7444,3 BHK Apartment in Bestech Park View Altura,Sector 79,Not approved by RERA,3,Apartment,16.536806051605975,15200000.00000079
40400000.0,Ready to move,2527,16000,3 BHK Apartment in Ireo Victory Valley,Sector 67,Not approved by RERA,3,Apartment,17.514340367683854,40433479.60119242
12100000.0,Ready to move,1180,10254,3 BHK Apartment in Ashiana Anmol,Sector 33 Sohna,Not approved by RERA,3,Apartment,16.308716093211594,12083431.999631632
12000000.0,Ready to move,930,12903,2 BHK Apartment in AIPL The Peaceful Homes,Sector 70A,Not approved by RERA,2,Apartment,16.300417291085605,11839367.725238308
113500000.0,Ready to move,5163,22000,4 BHK Apartment in M3M Golf Estate,Sector 65,Not approved by RERA,4,Apartment,18.547313403696304,113502494.53691226
56700000.0,Ready to move,3548,16000,3 BHK Apartment in Ireo Victory Valley,Sector 67,Not approved by RERA,3,Apartment,17.853284786334665,56700000.00000326
2704000.0,Under Construction,676,4000,2 BHK Apartment in Signature Global Global Aspire,Sector 95,Approved by RERA,2,Apartment,14.810243085967407,2704793.716218779
26500000.0,Ready to move,3000,8833,4 BHK Apartment in Ashley Titanium Floors 3,Sector 28,Not approved by RERA,4,Apartment,17.0926553286923,26499999.999998584
9600000.0,Ready to move,1675,5731,3 BHK Apartment in Orris Aster Court,Sector 85,Not approved by RERA,3,Apartment,16.077273760604726,10321975.635361595
50000000.0,Under Construction,2577,19402,4 BHK Apartment in Godrej Aristocrat,Sector 49,Approved by RERA,4,Apartment,17.72753358339242,49808427.9412278
40199999.99999999,Under Construction,2685,15000,4 BHK Apartment in M3M Golf Hills,Sector 79,Approved by RERA,4,Apartment,17.50937757846487,40200767.49716762
74900000.0,Under Construction,4038,18558,4 BHK Apartment in Whiteland The Aspen,Sector 76,Approved by RERA,4,Apartment,18.131664461838582,74900000.00000502
24500000.0,Under Construction,1518,16151,4 BHK Apartment in SS Linden,Sector 84,Approved by RERA,4,Apartment,17.01418371633128,24497474.267519303
31900000.0,Ready to move,1999,16000,2 BHK Apartment in Ireo Victory Valley,Sector 67,Not approved by RERA,2,Apartment,17.278116599103036,31903462.339319438
