Price,Status,Area,Rate per sqft,Property Type,Locality,RERA Approval,BHK_Count,Flat Type,Log_Price
4500000.0,Ready to move,920,4891,3 BHK Apartment,Sector 3A,Not approved by RERA,3,Plot,15.319588176962746
45000000.0,Under Construction,2250,20000,3 BHK Apartment in Krisumi Waterside Residence,Sector 36A,Approved by RERA,3,Apartment,17.622173069956816
39100000.0,Under Construction,1955,20000,3 BHK Apartment in Krisumi Waterfall Residences,Sector 36A,Approved by RERA,3,Apartment,17.48163305053104
10100000.0,Ready to move,1880,5372,3 BHK Apartment in Vatika The Seven Lamps,Sector 82,Not approved by RERA,3,Apartment,16.128046080821385
11000000.0,Ready to move,2105,5225,3 BHK Independent Floor,Palam Vihar Pocket H,Not approved by RERA,3,Plot,16.213405921671733
27799999.999999996,Ready to move,1261,22124,2 BHK Apartment in M3M Heights,Sector 65,Not approved by RERA,2,Apartment,17.140546614632086
57500000.0,Ready to move,4215,13641,4 BHK Apartment in Belaireea,Golf Course Road,Not approved by RERA,4,Apartment,17.867295523158884
15200000.0,Ready to move,2050,7444,3 BHK Apartment in Bestech Park View Altura,Sector 79,Not approved by RERA,3,Apartment,16.536806051605975
40400000.0,Ready to move,2527,16000,3 BHK Apartment in Ireo Victory Valley,Sector 67,Not approved by RERA,3,Apartment,17.514340367683854
12100000.0,Ready to move,1180,10254,3 BHK Apartment in Ashiana Anmol,Sector 33 Sohna,Not approved by RERA,3,Apartment,16.308716093211594
12000000.0,Ready to move,930,12903,2 BHK Apartment in AIPL The Peaceful Homes,Sector 70A,Not approved by RERA,2,Apartment,16.300417291085605
113500000.0,Ready to move,5163,22000,4 BHK Apartment in M3M Golf Estate,Sector 65,Not approved by RERA,4,Apartment,18.547313403696304
56700000.0,Ready to move,3548,16000,3 BHK Apartment in Ireo Victory Valley,Sector 67,Not approved by RERA,3,Apartment,17.853284786334665
2704000.0,Under Construction,676,4000,2 BHK Apartment in Signature Global Global Aspire,Sector 95,Approved by RERA,2,Apartment,14.810243085967409
26500000.0,Ready to move,3000,8833,4 BHK Apartment in Ashley Titanium Floors 3,Sector 28,Not approved by RERA,4,Apartment,17.0926553286923
9600000.0,Ready to move,1675,5731,3 BHK Apartment in Orris Aster Court,Sector 85,Not approved by RERA,3,Apartment,16.077273760604726
50000000.0,Under Construction,2577,19402,4 BHK Apartment in Godrej Aristocrat,Sector 49,Approved by RERA,4,Apartment,17.72753358339242
40199999.99999999,Under Construction,2685,15000,4 BHK Apartment in M3M Golf Hills,Sector 79,Approved by RERA,4,Apartment,17.50937757846487
74900000.0,Under Construction,4038,18558,4 BHK Apartment in Whiteland The Aspen,Sector 76,Approved by RERA,4,Apartment,18.131664461838582
24500000.0,Under Construction,1518,16151,4 BHK Apartment in SS Linden,Sector 84,Approved by RERA,4,Apartment,17.01418371633128
31900000.0,Ready to move,1999,16000,2 BHK Apartment in Ireo Victory Valley,Sector 67,Not approved by RERA,2,Apartment,17.278116599103036
325600000.0,Ready to move,6521,49937,5 BHK Villa in B kumar and brothers the passion group,DLF Phase 4,Not approved by RERA,5,Villa,19.601180195163913
102800000.0,Ready to move,6051,17000,4 BHK Apartment in Ireo Victory Valley,Sector 67,Not approved by RERA,4,Apartment,18.448295920712965
88000000.0,Ready to move,6775,13000,5 BHK Apartment in Tata Raisina Residency,Sector 59,Not approved by RERA,5,Apartment,18.292847383806116
36400000.0,Under Construction,2800,13000,4 BHK Apartment in Signature Global Deluxe DXP,Sector 37D,Approved by RERA,4,Apartment,17.410079360079497
31600000.0,Ready to move,1433,22120,2 BHK Apartment in M3M Heights,Sector 65,Not approved by RERA,2,Apartment,17.26866771020271
31000000.0,Under Construction,2770,11191,3 BHK Apartment in Vatika Sovereign,Sector 56,Approved by RERA,3,Apartment,17.249497794707484
33600000.0,Ready to move,2407,14000,4 BHK Apartment in Central Park Aqua Front Towers,Sector 33 Sohna,Not approved by RERA,4,Apartment,17.330036654695338
22200000.000000004,Ready to move,2285,9715,3 BHK Apartment in Microtek Greenburg,Sector 86,Not approved by RERA,3,Apartment,16.915602891887552
12000000.0,Ready to move,900,13333,3 BHK Independent House,Sector 110,Not approved by RERA,3,Plot,16.300417291085605
21800000.0,Ready to move,2535,8614,3 BHK Apartment in Tata Gurgaon Gateway,Sector 112,Not approved by RERA,3,Apartment,16.897420573630875
274900000.0,Ready to move,5825,47202,4 BHK Apartment in DLF The Aralias,Sector 42,Not approved by RERA,4,Apartment,19.43191795677316
56000000.0,Ready to move,3160,17721,4 BHK Apartment in ABW La Lagune,Sector 54,Not approved by RERA,4,Apartment,17.840862266556567
15500000.0,Ready to move,1800,8611,3 BHK Apartment in Investors Guide Floor 9,Sector 57,Not approved by RERA,3,Apartment,16.5563506464056
27900000.0,Under Construction,1692,16500,4 BHK Apartment in Elan The Presidential,Sector 106,Approved by RERA,4,Apartment,17.14413728263389
29300000.0,Under Construction,2600,11269,4 BHK Apartment in M3M Capital,Sector 113,Approved by RERA,4,Apartment,17.19309810811699
2630000.0,Under Construction,645,4077,3 BHK Apartment in Mahira Homes 95,Sector 95,Approved by RERA,3,Apartment,14.782494784382012
12500000.0,Ready to move,2120,5896,3 BHK Apartment in Bestech Park View Sanskruti,Sector 92,Not approved by RERA,3,Apartment,16.341239282272525
15000000.0,Ready to move,1735,8645,3 BHK Apartment in Vatika Gurgaon 21,Sector 83,Not approved by RERA,3,Apartment,16.52356082573315
32900000.0,Ready to move,4210,7814,4 BHK Apartment in Bestech Park View Grand Spa,Sector 81,Not approved by RERA,4,Apartment,17.308983246130737
15800000.0,Ready to move,2450,6489,3 BHK Apartment in Swaraj Homes Chandra Apartments,Sector 55,Not approved by RERA,3,Apartment,16.575520561288332
9231000.0,Under Construction,1211,7623,2 BHK Apartment in Signature Global City 79 B,Sector 79,Approved by RERA,2,Apartment,16.038078051302907
15700000.0,Ready to move,1292,12222,3 BHK Apartment in Godrej Air,Sector 85,Not approved by RERA,3,Apartment,16.5691713340128
15400000.0,Ready to move,1263,12222,2 BHK Apartment in Godrej Air,Sector 85,Not approved by RERA,2,Apartment,16.54987813231892
462000000.0,Under Construction,2100,220000,4 BHK Apartment in M3M Capital,Sector 113,Approved by RERA,4,Apartment,19.951075451210514
68200000.0,Under Construction,3680,18559,4 BHK Apartment in Whiteland The Aspen,Sector 76,Approved by RERA,4,Apartment,18.037955137476448
22599999.999999996,Under Construction,2004,9586,3 BHK Apartment in Godrej Prive,Sector 106,Approved by RERA,3,Apartment,16.933460508490302
74900000.0,Under Construction,3800,19736,4 BHK Apartment in DLF The Arbour,Sector 63,Approved by RERA,4,Apartment,18.131664461838582
61500000.0,Ready to move,2864,21500,4 BHK Apartment in Ireo The Grand Arch,Sector 58,Not approved by RERA,4,Apartment,17.93454774903691
14500000.0,Ready to move,1700,8529,3 BHK Independent Floor,Sector 46,Not approved by RERA,3,Plot,16.489659276356317
48000000.0,Under Construction,2745,17486,4 BHK Independent Floor in Emaar Emerald Hill,Sector 65,Approved by RERA,4,Floor,17.6867115897055
34200000.0,Ready to move,1632,21000,2 BHK Apartment in Ireo The Grand Arch,Sector 58,Not approved by RERA,2,Apartment,17.3477362312726
15500000.0,Ready to move,1271,12195,3 BHK Independent Floor in Vatika Primrose Floors,Sector 82,Not approved by RERA,3,Floor,16.5563506464056
68400000.0,Ready to move,3112,22000,3 BHK Apartment in M3M Golf Estate,Sector 65,Not approved by RERA,3,Apartment,18.04088339721266
17800000.0,New,1259,14204,Residential Plot in BPTP District 6 Block L,Sector 84,Approved by RERA,6,Plot,16.694709071442087
