Status,Area,Rate per sqft,Property Type,Locality,RERA Approval,BHK_Count,Flat Type
Ready to move,920,4891,3 BHK Apartment,Sector 3A,Not approved by RERA,3,Plot
Under Construction,2250,20000,3 BHK Apartment in Krisumi Waterside Residence,Sector 36A,Approved by RERA,3,Apartment
Under Construction,1955,20000,3 BHK Apartment in Krisumi Waterfall Residences,Sector 36A,Approved by RERA,3,Apartment
Ready to move,1880,5372,3 BHK Apartment in Vatika The Seven Lamps,Sector 82,Not approved by RERA,3,Apartment
Ready to move,2105,5225,3 BHK Independent Floor,Palam Vihar Pocket H,Not approved by RERA,3,Plot
Ready to move,1261,22124,2 BHK Apartment in M3M Heights,Sector 65,Not approved by RERA,2,Apartment
Ready to move,4215,13641,4 BHK Apartment in Belaireea,Golf Course Road,Not approved by RERA,4,Apartment
Ready to move,2050,7444,3 BHK Apartment in Bestech Park View Altura,Sector 79,Not approved by RERA,3,Apartment
Ready to move,2527,16000,3 BHK Apartment in Ireo Victory Valley,Sector 67,Not approved by RERA,3,Apartment
Ready to move,1180,10254,3 BHK Apartment in Ashiana Anmol,Sector 33 Sohna,Not approved by RERA,3,Apartment
Ready to move,930,12903,2 BHK Apartment in AIPL The Peaceful Homes,Sector 70A,Not approved by RERA,2,Apartment
Ready to move,5163,22000,4 BHK Apartment in M3M Golf Estate,Sector 65,Not approved by RERA,4,Apartment
Ready to move,3548,16000,3 BHK Apartment in Ireo Victory Valley,Sector 67,Not approved by RERA,3,Apartment
Under Construction,676,4000,2 BHK Apartment in Signature Global Global Aspire,Sector 95,Approved by RERA,2,Apartment
Ready to move,3000,8833,4 BHK Apartment in Ashley Titanium Floors 3,Sector 28,Not approved by RERA,4,Apartment
Ready to move,1675,5731,3 BHK Apartment in Orris Aster Court,Sector 85,Not approved by RERA,3,Apartment
Under Construction,2577,19402,4 BHK Apartment in Godrej Aristocrat,Sector 49,Approved by RERA,4,Apartment
Under Construction,2685,15000,4 BHK Apartment in M3M Golf Hills,Sector 79,Approved by RERA,4,Apartment
Under Construction,4038,18558,4 BHK Apartment in Whiteland The Aspen,Sector 76,Approved by RERA,4,Apartment
Under Construction,1518,16151,4 BHK Apartment in SS Linden,Sector 84,Approved by RERA,4,Apartment
Ready to move,1999,16000,2 BHK Apartment in Ireo Victory Valley,Sector 67,Not approved by RERA,2,Apartment
Ready to move,6521,49937,5 BHK Villa in B kumar and brothers the passion group,DLF Phase 4,Not approved by RERA,5,Villa
Ready to move,6051,17000,4 BHK Apartment in Ireo Victory Valley,Sector 67,Not approved by RERA,4,Apartment
Ready to move,6775,13000,5 BHK Apartment in Tata Raisina Residency,Sector 59,Not approved by RERA,5,Apartment
Under Construction,2800,13000,4 BHK Apartment in Signature Global Deluxe DXP,Sector 37D,Approved by RERA,4,Apartment
Ready to move,1433,22120,2 BHK Apartment in M3M Heights,Sector 65,Not approved by RERA,2,Apartment
Under Construction,2770,11191,3 BHK Apartment in Vatika Sovereign,Sector 56,Approved by RERA,3,Apartment
Ready to move,2407,14000,4 BHK Apartment in Central Park Aqua Front Towers,Sector 33 Sohna,Not approved by RERA,4,Apartment
Ready to move,2285,9715,3 BHK Apartment in Microtek Greenburg,Sector 86,Not approved by RERA,3,Apartment
Ready to move,900,13333,3 BHK Independent House,Sector 110,Not approved by RERA,3,Plot
Ready to move,2535,8614,3 BHK Apartment in Tata Gurgaon Gateway,Sector 112,Not approved by RERA,3,Apartment
Ready to move,5825,47202,4 BHK Apartment in DLF The Aralias,Sector 42,Not approved by RERA,4,Apartment
Ready to move,3160,17721,4 BHK Apartment in ABW La Lagune,Sector 54,Not approved by RERA,4,Apartment
Ready to move,1800,8611,3 BHK Apartment in Investors Guide Floor 9,Sector 57,Not approved by RERA,3,Apartment
Under Construction,1692,16500,4 BHK Apartment in Elan The Presidential,Sector 106,Approved by RERA,4,Apartment
Under Construction,2600,11269,4 BHK Apartment in M3M Capital,Sector 113,Approved by RERA,4,Apartment
