Status,Area,Rate per sqft,Property Type,Locality,RERA Approval,BHK_Count,Flat Type,predicted_price
Ready to move,920,4891,3 BHK Apartment,Sector 3A,Not approved by RERA,3,Plot,4500000.000000258
Under Construction,2250,20000,3 BHK Apartment in Krisumi Waterside Residence,Sector 36A,Approved by RERA,3,Apartment,44999999.99999711
Under Construction,1955,20000,3 BHK Apartment in Krisumi Waterfall Residences,Sector 36A,Approved by RERA,3,Apartment,39099999.99999749
Ready to move,1880,5372,3 BHK Apartment in Vatika The Seven Lamps,Sector 82,Not approved by RERA,3,Apartment,10060171.85253436
Ready to move,2105,5225,3 BHK Independent Floor,Palam Vihar Pocket H,Not approved by RERA,3,Plot,11096993.543179007
Ready to move,1261,22124,2 BHK Apartment in M3M Heights,Sector 65,Not approved by RERA,2,Apartment,27799999.999999262
Ready to move,4215,13641,4 BHK Apartment in Belaireea,Golf Course Road,Not approved by RERA,4,Apartment,58906980.28670287
Ready to move,2050,7444,3 BHK Apartment in Bestech Park View Altura,Sector 79,Not approved by RERA,3,Apartment,15200000.00000079
Ready to move,2527,16000,3 BHK Apartment in Ireo Victory Valley,Sector 67,Not approved by RERA,3,Apartment,40433479.60119242
Ready to move,1180,10254,3 BHK Apartment in Ashiana Anmol,Sector 33 Sohna,Not approved by RERA,3,Apartment,12083431.999631632
Ready to move,930,12903,2 BHK Apartment in AIPL The Peaceful Homes,Sector 70A,Not approved by RERA,2,Apartment,11839367.725238308
Ready to move,5163,22000,4 BHK Apartment in M3M Golf Estate,Sector 65,Not approved by RERA,4,Apartment,113502494.53691226
Ready to move,3548,16000,3 BHK Apartment in Ireo Victory Valley,Sector 67,Not approved by RERA,3,Apartment,56700000.00000326
Under Construction,676,4000,2 BHK Apartment in Signature Global Global Aspire,Sector 95,Approved by RERA,2,Apartment,2704793.716218779
Ready to move,3000,8833,4 BHK Apartment in Ashley Titanium Floors 3,Sector 28,Not approved by RERA,4,Apartment,26499999.999998584
Ready to move,1675,5731,3 BHK Apartment in Orris Aster Court,Sector 85,Not approved by RERA,3,Apartment,10321975.635361595
Under Construction,2577,19402,4 BHK Apartment in Godrej Aristocrat,Sector 49,Approved by RERA,4,Apartment,49808427.9412278
Under Construction,2685,15000,4 BHK Apartment in M3M Golf Hills,Sector 79,Approved by RERA,4,Apartment,40200767.49716762
Under Construction,4038,18558,4 BHK Apartment in Whiteland The Aspen,Sector 76,Approved by RERA,4,Apartment,74900000.00000502
Under Construction,1518,16151,4 BHK Apartment in SS Linden,Sector 84,Approved by RERA,4,Apartment,24497474.267519303
Ready to move,1999,16000,2 BHK Apartment in Ireo Victory Valley,Sector 67,Not approved by RERA,2,Apartment,31903462.339319438
Ready to move,6521,49937,5 BHK Villa in B kumar and brothers the passion group,DLF Phase 4,Not approved by RERA,5,Villa,272199601.21445554
Ready to move,6051,17000,4 BHK Apartment in Ireo Victory Valley,Sector 67,Not approved by RERA,4,Apartment,102734512.60805616
Ready to move,6775,13000,5 BHK Apartment in Tata Raisina Residency,Sector 59,Not approved by RERA,5,Apartment,87805426.89338844
Under Construction,2800,13000,4 BHK Apartment in Signature Global Deluxe DXP,Sector 37D,Approved by RERA,4,Apartment,36400000.000001304
Ready to move,1433,22120,2 BHK Apartment in M3M Heights,Sector 65,Not approved by RERA,2,Apartment,31590734.859669387
Under Construction,2770,11191,3 BHK Apartment in Vatika Sovereign,Sector 56,Approved by RERA,3,Apartment,31067243.30101827
Ready to move,2407,14000,4 BHK Apartment in Central Park Aqua Front Towers,Sector 33 Sohna,Not approved by RERA,4,Apartment,33591426.545635454
Ready to move,2285,9715,3 BHK Apartment in Microtek Greenburg,Sector 86,Not approved by RERA,3,Apartment,22114214.276907958
Ready to move,900,13333,3 BHK Independent House,Sector 110,Not approved by RERA,3,Plot,11848593.845146114
Ready to move,2535,8614,3 BHK Apartment in Tata Gurgaon Gateway,Sector 112,Not approved by RERA,3,Apartment,22323678.31401082
Ready to move,5825,47202,4 BHK Apartment in DLF The Aralias,Sector 42,Not approved by RERA,4,Apartment,275777734.2843963
Ready to move,3160,17721,4 BHK Apartment in ABW La Lagune,Sector 54,Not approved by RERA,4,Apartment,56337253.019551486
